NAME,EMP,ESTAB,NAICS2017,state,county
"Lexington County, South Carolina",2483,99,51,45,063
"Newberry County, South Carolina",21,8,51,45,071
"Oconee County, South Carolina",211,19,51,45,073
"Sumter County, South Carolina",229,20,51,45,085
"Union County, South Carolina",24,5,51,45,087
"York County, South Carolina",1599,101,51,45,091
"Chester County, South Carolina",190,8,51,45,023
"Chesterfield County, South Carolina",110,10,51,45,025
"Pickens County, South Carolina",138,29,51,45,077
"Richland County, South Carolina",2924,172,51,45,079
"Spartanburg County, South Carolina",1716,88,51,45,083
"Charleston County, South Carolina",4807,245,51,45,019
"Greenville County, South Carolina",5723,237,51,45,045
"Appling County, Georgia",37,6,51,13,001
"Bacon County, Georgia",93,4,51,13,005
"Baldwin County, Georgia",101,11,51,13,009
"Bleckley County, Georgia",25,4,51,13,023
"Jeff Davis County, Georgia",4,3,51,13,161
"Miller County, Georgia",12,3,51,13,201
"Monroe County, Georgia",17,6,51,13,207
"Tattnall County, Georgia",137,6,51,13,267
"Worth County, Georgia",16,7,51,13,321
"Banks County, Georgia",27,9,51,13,011
"Ben Hill County, Georgia",62,7,51,13,017
"Berrien County, Georgia",16,4,51,13,019
"Brantley County, Georgia",67,3,51,13,025
